epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8359793424606323,0.0010000000474974513,0.37153199315071106,0.8496837019920349,0.8163838982582092,0.886066734790802,0.26374611258506775,0.9448160529136658,0.8200290203094482
1,0.8931325674057007,0.0010000000474974513,0.26346105337142944,0.9106415510177612,0.8718134760856628,0.9129172563552856,0.22002248466014862,0.9336889982223511,0.8889695405960083
2,0.8973056077957153,0.0010000000474974513,0.25540289282798767,0.9144506454467773,0.8766216039657593,0.9140058159828186,0.2154005467891693,0.9474509954452515,0.876632809638977
3,0.9056064486503601,0.0010000000474974513,0.2399684339761734,0.9198910593986511,0.8885965943336487,0.9107401967048645,0.21749690175056458,0.9506369233131409,0.8664731383323669
4,0.9083280563354492,0.0010000000474974513,0.23506280779838562,0.9228673577308655,0.8911367058753967,0.9234397411346436,0.20279787480831146,0.9444021582603455,0.899854838848114
5,0.9063321948051453,0.0010000000474974513,0.23234553635120392,0.9191465377807617,0.8910459876060486,0.9245283007621765,0.19442419707775116,0.9214697480201721,0.9281567335128784
6,0.9108228087425232,0.0010000000474974513,0.22807161509990692,0.9232638478279114,0.8961262702941895,0.927431046962738,0.19454973936080933,0.9509953856468201,0.9013062119483948
7,0.9149051904678345,0.0010000000474974513,0.22190319001674652,0.927070677280426,0.9006622433662415,0.9296081066131592,0.18799547851085663,0.9464554786682129,0.9107401967048645
8,0.913952648639679,0.0010000000474974513,0.2213439792394638,0.9271671772003174,0.898485004901886,0.9306966662406921,0.1837691366672516,0.9432412385940552,0.9165456891059875
9,0.9143608808517456,0.0010000000474974513,0.22040678560733795,0.9270687103271484,0.8994829058647156,0.9321480393409729,0.18596677482128143,0.9549274444580078,0.9071117639541626
10,0.9162206053733826,0.0010000000474974513,0.21750913560390472,0.9282247424125671,0.9022044539451599,0.9317851662635803,0.184332013130188,0.9514415860176086,0.9100145101547241
11,0.9162659645080566,0.0010000000474974513,0.21739992499351501,0.9312094449996948,0.8989385962486267,0.9277939200401306,0.18333138525485992,0.9306063055992126,0.9245283007621765
12,0.9160391688346863,0.0010000000474974513,0.2188097983598709,0.9305294752120972,0.8992107510566711,0.9332365989685059,0.18298916518688202,0.9502262473106384,0.9143686294555664
13,0.9205751419067383,0.0010000000474974513,0.21388903260231018,0.9331900477409363,0.9060146808624268,0.9296081066131592,0.18456533551216125,0.9519084095954895,0.9049347043037415
14,0.917263925075531,0.0010000000474974513,0.21787413954734802,0.930221676826477,0.9022044539451599,0.9303337931632996,0.18395067751407623,0.945195198059082,0.913642942905426
15,0.9180350303649902,0.0010000000474974513,0.21793925762176514,0.9309764504432678,0.903020977973938,0.9350507855415344,0.1832958608865738,0.9517709016799927,0.9165456891059875
16,0.9190329313278198,0.0010000000474974513,0.21113422513008118,0.9324096441268921,0.9035652875900269,0.9386792182922363,0.17657992243766785,0.9514563083648682,0.9245283007621765
17,0.9194411635398865,0.0010000000474974513,0.2107103317975998,0.9319009780883789,0.9050167798995972,0.9314223527908325,0.18072302639484406,0.9261648654937744,0.9375907182693481
18,0.9214370250701904,0.0010000000474974513,0.2077888548374176,0.934849739074707,0.9060146808624268,0.9314223527908325,0.18382158875465393,0.9225302338600159,0.9419448375701904
19,0.9182164669036865,0.0010000000474974513,0.21016782522201538,0.9299570918083191,0.9045631885528564,0.9346879720687866,0.17886538803577423,0.9496996998786926,0.9179971218109131
20,0.9201669096946716,0.0010000000474974513,0.20979727804660797,0.9329718351364136,0.9053796529769897,0.9357764720916748,0.17767620086669922,0.9498127102851868,0.9201741814613342
21,0.926154375076294,0.0005000000237487257,0.1998678296804428,0.9393060803413391,0.9111856818199158,0.9357764720916748,0.17604398727416992,0.9392830729484558,0.9317851662635803
22,0.9268801808357239,0.0005000000237487257,0.19825302064418793,0.9383325576782227,0.9138165712356567,0.9357764720916748,0.1734664887189865,0.9458054900169373,0.9245283007621765
23,0.9270616173744202,0.0005000000237487257,0.1991012990474701,0.9386005997657776,0.9139072895050049,0.937953531742096,0.1753799319267273,0.9427732825279236,0.9325109124183655
24,0.9284677505493164,0.0005000000237487257,0.1931392401456833,0.941897451877594,0.9132722616195679,0.9372278451919556,0.17560161650180817,0.9407461881637573,0.9332365989685059
25,0.9274698495864868,0.0005000000237487257,0.1981164962053299,0.9384887218475342,0.9149051904678345,0.9306966662406921,0.1785140484571457,0.918842613697052,0.944847583770752
26,0.9296470880508423,0.0005000000237487257,0.1905708611011505,0.9408041834831238,0.9169917702674866,0.9365021586418152,0.173830047249794,0.9336698055267334,0.9397677779197693
27,0.9295110106468201,0.0002500000118743628,0.19119080901145935,0.9415275454521179,0.9159030914306641,0.934325098991394,0.17483027279376984,0.929648220539093,0.9397677779197693
28,0.9308717846870422,0.0002500000118743628,0.18830378353595734,0.9423488974571228,0.917898952960968,0.9339622855186462,0.17551609873771667,0.9265335202217102,0.9426705241203308
29,0.9285131096839905,0.0002500000118743628,0.18712471425533295,0.9402554035186768,0.9151773452758789,0.9357764720916748,0.1745491325855255,0.9329488277435303,0.9390420913696289
