epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9165834784507751,0.0010000000474974513,0.22494706511497498,0.9274013638496399,0.9039281606674194,0.9539186954498291,0.1416187733411789,0.9516245722770691,0.9564586281776428
1,0.954050600528717,0.0010000000474974513,0.1553802639245987,0.960780680179596,0.9467477202415466,0.9575471878051758,0.1334865242242813,0.962582528591156,0.9521045088768005
2,0.9557289481163025,0.0010000000474974513,0.1470678448677063,0.963294267654419,0.9475641846656799,0.9564586281776428,0.132893368601799,0.9624999761581421,0.9499274492263794
3,0.9571350812911987,0.0010000000474974513,0.14304237067699432,0.9637401103973389,0.9500136375427246,0.956095814704895,0.15125441551208496,0.9729119539260864,0.9383164048194885
4,0.9574525952339172,0.0010000000474974513,0.13861726224422455,0.9634224772453308,0.9510115385055542,0.9579100012779236,0.12642672657966614,0.96879643201828,0.9462989568710327
5,0.9583144187927246,0.0010000000474974513,0.1343151181936264,0.9655362963676453,0.9505579471588135,0.9600870609283447,0.119907908141613,0.9675516486167908,0.9521045088768005
6,0.9590401649475098,0.0010000000474974513,0.1308058202266693,0.9667896628379822,0.9507393836975098,0.9597242474555969,0.11815536767244339,0.9613984227180481,0.9579100012779236
7,0.9581329822540283,0.0010000000474974513,0.12950710952281952,0.9643251299858093,0.9514651298522949,0.958635687828064,0.12663902342319489,0.9723467826843262,0.9441218972206116
8,0.9587226510047913,0.0010000000474974513,0.12723881006240845,0.9651365876197815,0.9518280029296875,0.9619013071060181,0.11470227688550949,0.9649379253387451,0.958635687828064
9,0.9592669606208801,0.0010000000474974513,0.12220745533704758,0.9657742381095886,0.9522815942764282,0.9640783667564392,0.10689838230609894,0.9691855907440186,0.958635687828064
10,0.9613988995552063,0.0010000000474974513,0.12057557702064514,0.9700554609298706,0.9521908760070801,0.9622641801834106,0.10721440613269806,0.9670087695121765,0.9571843147277832
11,0.9614896178245544,0.0010000000474974513,0.11700829863548279,0.9687615036964417,0.9537330865859985,0.9600870609283447,0.11529543250799179,0.9696296453475952,0.9499274492263794
12,0.9609906673431396,0.0010000000474974513,0.11509169638156891,0.9685569405555725,0.9529166221618652,0.9600870609283447,0.11732012033462524,0.9774096608161926,0.9419448375701904
13,0.9626689553260803,0.0010000000474974513,0.11170465499162674,0.9707402586936951,0.9540959596633911,0.9604499340057373,0.11778794229030609,0.9703484177589417,0.9499274492263794
14,0.9648916125297546,0.0005000000237487257,0.10594020783901215,0.9733074903488159,0.9560011029243469,0.9615384340286255,0.10355734080076218,0.9655929803848267,0.9571843147277832
15,0.965753436088562,0.0005000000237487257,0.10254070907831192,0.9730924963951111,0.9579969048500061,0.9648040533065796,0.1064782366156578,0.9699193239212036,0.9593613743782043
16,0.964483380317688,0.0005000000237487257,0.09901431947946548,0.971541702747345,0.9569990038871765,0.9626269936561584,0.09917199611663818,0.967718243598938,0.9571843147277832
