epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9086455702781677,0.0005000000237487257,0.2394033968448639,0.9174311757087708,0.8981221318244934,0.9579100012779236,0.13618996739387512,0.9701937437057495,0.944847583770752
1,0.9553207159042358,0.0005000000237487257,0.15097258985042572,0.9668837189674377,0.9429374933242798,0.9564586281776428,0.13471198081970215,0.9694029688835144,0.9426705241203308
2,0.9578608274459839,0.0005000000237487257,0.1385333389043808,0.9678346514701843,0.9472013115882874,0.9597242474555969,0.13064633309841156,0.9668385982513428,0.9521045088768005
3,0.9581329822540283,0.0005000000237487257,0.13597078621387482,0.967419445514679,0.9481992125511169,0.9582728743553162,0.13316744565963745,0.9646798968315125,0.9513788223266602
4,0.958541214466095,0.0005000000237487257,0.1316908299922943,0.9674465656280518,0.9490156769752502,0.9571843147277832,0.14877308905124664,0.9816513657569885,0.9317851662635803
5,0.9596752524375916,0.0005000000237487257,0.12812045216560364,0.9685592651367188,0.9501950740814209,0.9593613743782043,0.12359129637479782,0.9745127558708191,0.9433962106704712
6,0.9604009985923767,0.0005000000237487257,0.12599827349185944,0.9670531749725342,0.9532794952392578,0.958635687828064,0.12807434797286987,0.9599708914756775,0.9571843147277832
7,0.9599927663803101,0.0005000000237487257,0.1237988993525505,0.9675426483154297,0.9519187211990356,0.9579100012779236,0.1260913908481598,0.9592430591583252,0.9564586281776428
8,0.9610813856124878,0.0005000000237487257,0.11922672390937805,0.9671844840049744,0.9545495510101318,0.9633526802062988,0.11481332778930664,0.971217691898346,0.9550072550773621
9,0.9617164134979248,0.0005000000237487257,0.11667236685752869,0.9692080616950989,0.9537330865859985,0.9600870609283447,0.11457442492246628,0.9668630361557007,0.9528301954269409
10,0.9619432091712952,0.0005000000237487257,0.11236914992332458,0.9685314893722534,0.9549124836921692,0.9608127474784851,0.11193856596946716,0.9717682003974915,0.949201762676239
11,0.9638482928276062,0.0005000000237487257,0.11061779409646988,0.9721145033836365,0.9550939202308655,0.9611756205558777,0.12711982429027557,0.9696969985961914,0.9521045088768005
12,0.9641204476356506,0.0005000000237487257,0.10956589877605438,0.971868634223938,0.9559103846549988,0.9600870609283447,0.12581804394721985,0.9535049796104431,0.9673439860343933
13,0.9638482928276062,0.0005000000237487257,0.10824677348136902,0.9720273017883301,0.9551846385002136,0.9615384340286255,0.12133059650659561,0.9615384340286255,0.9615384340286255
14,0.9643019437789917,0.0005000000237487257,0.1067269966006279,0.971270740032196,0.9569082856178284,0.9589985609054565,0.11945481598377228,0.9695619940757751,0.9477503895759583
15,0.9673410058021545,0.0002500000118743628,0.09713120013475418,0.9745739102363586,0.9597206115722656,0.9608127474784851,0.11624614894390106,0.9621542692184448,0.9593613743782043
16,0.9684296250343323,0.0002500000118743628,0.09228698164224625,0.9746299982070923,0.9618978500366211,0.9611756205558777,0.11093701422214508,0.9628550410270691,0.9593613743782043
17,0.9681121110916138,0.0002500000118743628,0.09033454209566116,0.9741775393486023,0.9617164134979248,0.9622641801834106,0.11251550912857056,0.9739583134651184,0.9499274492263794
18,0.9682028293609619,0.0002500000118743628,0.08804873377084732,0.97566819190979,0.9603556394577026,0.9604499340057373,0.11179094016551971,0.9634770154953003,0.9571843147277832
19,0.9706069231033325,0.0002500000118743628,0.08393798023462296,0.9772748351097107,0.9636214971542358,0.9604499340057373,0.11390212923288345,0.9587852358818054,0.9622641801834106
20,0.970289409160614,0.0002500000118743628,0.0847037211060524,0.9774360060691833,0.9628050327301025,0.9648040533065796,0.10790085792541504,0.9664967060089111,0.962989866733551
21,0.9713780283927917,0.0002500000118743628,0.0810464397072792,0.9777491688728333,0.9647101759910583,0.9633526802062988,0.10662571340799332,0.9677655696868896,0.958635687828064
22,0.9730563163757324,0.0002500000118743628,0.0793117806315422,0.9788777828216553,0.966978132724762,0.9608127474784851,0.11565162241458893,0.9621542692184448,0.9593613743782043
23,0.9739181995391846,0.0002500000118743628,0.07680526375770569,0.9791781306266785,0.9684296250343323,0.9593613743782043,0.1203065812587738,0.9573699235916138,0.9615384340286255
24,0.973419189453125,0.0002500000118743628,0.0765000730752945,0.978103518486023,0.9685203433036804,0.9622641801834106,0.11340151727199554,0.9595959782600403,0.9651669263839722
25,0.9733284711837769,0.0002500000118743628,0.07598134130239487,0.9802116751670837,0.9661616683006287,0.9593613743782043,0.12097597867250443,0.9567099809646606,0.9622641801834106
26,0.974825382232666,0.0001250000059371814,0.07076222449541092,0.9800073504447937,0.9694275856018066,0.9640783667564392,0.11066076904535294,0.9657683968544006,0.9622641801834106
27,0.9756418466567993,0.0001250000059371814,0.06723134964704514,0.9807445406913757,0.9703347682952881,0.9604499340057373,0.11472474783658981,0.958122730255127,0.962989866733551
28,0.9774108529090881,0.0001250000059371814,0.06400870531797409,0.9825767874717712,0.9720584154129028,0.9604499340057373,0.12201879918575287,0.9614545702934265,0.9593613743782043
29,0.9774108529090881,0.0001250000059371814,0.06323979794979095,0.983108401298523,0.971514105796814,0.9622641801834106,0.12053687870502472,0.9582734107971191,0.9666182994842529
