epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5676766633987427,0.0010000000474974513,0.6811569929122925,0.5670742392539978,0.5721672773361206,0.6542090177536011,0.6571021676063538,0.6226197481155396,0.7830188870429993
1,0.6140342950820923,0.0010000000474974513,0.657743513584137,0.6121720671653748,0.6223351359367371,0.6719883680343628,0.6387952566146851,0.6650418043136597,0.6930333971977234
2,0.6304998397827148,0.0010000000474974513,0.6479340195655823,0.6302635073661804,0.6314070820808411,0.6723512411117554,0.6344553828239441,0.6547231078147888,0.729317843914032
3,0.63780277967453,0.0010000000474974513,0.6421708464622498,0.6369455456733704,0.6409326195716858,0.6777939200401306,0.6226247549057007,0.6950637102127075,0.6335268616676331
4,0.6524539589881897,0.0010000000474974513,0.6323875784873962,0.6522054076194763,0.653270423412323,0.6799709796905518,0.6185342073440552,0.6766381859779358,0.6894049644470215
5,0.6552209258079529,0.0010000000474974513,0.6289694905281067,0.6512553095817566,0.6683298349380493,0.6825109124183655,0.6145898103713989,0.674774169921875,0.7046444416046143
6,0.6646557450294495,0.0010000000474974513,0.6216859221458435,0.6601376533508301,0.6787626147270203,0.6835994124412537,0.6074991226196289,0.6888059973716736,0.6698113083839417
7,0.6647918224334717,0.0010000000474974513,0.6185719966888428,0.6581903696060181,0.685657262802124,0.6897677779197693,0.6032236218452454,0.6837666630744934,0.706095814704895
8,0.6699174642562866,0.0010000000474974513,0.6123742461204529,0.6604970097541809,0.69926518201828,0.694847583770752,0.600454568862915,0.6902905702590942,0.7068215012550354
9,0.6734554767608643,0.0010000000474974513,0.6110583543777466,0.6621163487434387,0.7084278464317322,0.6897677779197693,0.6041166186332703,0.7019305229187012,0.6596516966819763
10,0.6708246469497681,0.0010000000474974513,0.6133496165275574,0.6588761210441589,0.7084278464317322,0.6977503895759583,0.5940754413604736,0.70051509141922,0.6908563375473022
11,0.6731379628181458,0.0010000000474974513,0.610227644443512,0.6574020385742188,0.7231243848800659,0.6970247030258179,0.5969030857086182,0.6871123313903809,0.7235123515129089
12,0.6739998459815979,0.0010000000474974513,0.6119077205657959,0.6556817889213562,0.7328313589096069,0.6966618299484253,0.593431830406189,0.7010385990142822,0.6857764720916748
13,0.6767667531967163,0.0010000000474974513,0.6075838804244995,0.6602516770362854,0.7282953858375549,0.6973875164985657,0.5884169936180115,0.683783769607544,0.7343976497650146
14,0.6800326704978943,0.0010000000474974513,0.6045361757278442,0.6601307392120361,0.7421754598617554,0.7006531357765198,0.582807719707489,0.695960283279419,0.7126269936561584
15,0.6833439469337463,0.0010000000474974513,0.6013994216918945,0.6636702418327332,0.7434455156326294,0.7006531357765198,0.5832560658454895,0.678042471408844,0.7641509175300598
16,0.6811666488647461,0.0010000000474974513,0.6016889810562134,0.6608149409294128,0.744443416595459,0.6970247030258179,0.587901771068573,0.6577571034431458,0.821480393409729
17,0.6816202402114868,0.0010000000474974513,0.6039591431617737,0.6594203114509583,0.7512474060058594,0.6973875164985657,0.582098662853241,0.6654500961303711,0.793904185295105
18,0.6845232844352722,0.0010000000474974513,0.5982367396354675,0.6587326526641846,0.7657625079154968,0.699201762676239,0.5885312557220459,0.7068575620651245,0.6806966662406921
19,0.686292290687561,0.0010000000474974513,0.6005406975746155,0.6634041666984558,0.7563276886940002,0.6988388895988464,0.5888434052467346,0.6602339148521423,0.8193033337593079
20,0.6849768757820129,0.0010000000474974513,0.5986191034317017,0.6612367630004883,0.7585956454277039,0.7035558819770813,0.5828284621238708,0.6801541447639465,0.7685050964355469
21,0.6806223392486572,0.0010000000474974513,0.6030450463294983,0.6566976308822632,0.7569627165794373,0.7010159492492676,0.5779827237129211,0.6970127820968628,0.7111756205558777
22,0.6815748810768127,0.0010000000474974513,0.6002904176712036,0.6555529832839966,0.765218198299408,0.7050072550773621,0.5736544728279114,0.6971388459205627,0.7249637246131897
23,0.6885603070259094,0.0010000000474974513,0.5953118801116943,0.6621674299240112,0.7699356079101562,0.7013788223266602,0.5779682397842407,0.698924720287323,0.7075471878051758
24,0.682391345500946,0.0010000000474974513,0.6003785729408264,0.6553109288215637,0.7695727348327637,0.7031930088996887,0.5726984143257141,0.6902173757553101,0.737300455570221
25,0.6853851079940796,0.0010000000474974513,0.5985285639762878,0.6585706472396851,0.7699356079101562,0.7013788223266602,0.577200174331665,0.6836532354354858,0.7496371269226074
26,0.6855211853981018,0.0010000000474974513,0.5996291041374207,0.6573560833930969,0.7750158905982971,0.7024673223495483,0.5738803148269653,0.6806994676589966,0.762699544429779
27,0.6745441555976868,0.0010000000474974513,0.6022875308990479,0.6468029618263245,0.76902836561203,0.7050072550773621,0.5798601508140564,0.7016416788101196,0.7133526802062988
28,0.6655629277229309,0.0010000000474974513,0.603190004825592,0.6362143754959106,0.7732921838760376,0.7042815685272217,0.5771505832672119,0.6890530586242676,0.7445573210716248
29,0.6882427930831909,0.0005000000237487257,0.5907888412475586,0.6575790047645569,0.7855393290519714,0.687953531742096,0.5901095271110535,0.6389485001564026,0.8642960786819458
